kind,code,SuperClassCode,currency,definition,fdacode,fdaterm,imdrfcode,imdrfterm,inclusion,preferred,pronunciation,report,termlevel
layer3,A01-a0059,A01-a0058,Y,信号処理などで、観測や解析の段階で発生したデータのエラーや信号のゆがみが画像に混入すること。,1036,Artifact,A090801,,,アーチファクト,あーちふぁくと,report,L2
layer3,A01-a0060,A01-a0058,Y,アーチファクト以外の正常でない画像。,-,-,A0902,,,その他の異常画像,そのたのいじょうがぞう,report,L2
layer2,A01-a0061,A01_DeviceProblem,Y,,,,,,,データ喪失,でーたそうしつ,not report,L1
layer3,A01-a0062,A01-a0061,Y,患者情報、画像、計算値等の情報が消えること。,1600,"Storage, inadequate",A110701,,データの消失,データの喪失,でーたのしょうしつ,report,L2
layer3,A01-a0063,A01-a0061,Y,患者情報、画像、計算値等の情報が混じること。,1600,"Storage, inadequate",A1107,,,データの混入,でーたのこんにゅう,report,L2
layer3,A01-a0064,A01-a0061,Y,対象データが正しく記録装置に保存されない（意図しない内容となる、記録保存場所を間違う、保存記録されない）。,1600,"Storage, inadequate",A1107,,,ミスファイル,みすふぁいる,report,L2
layer3,A01-a0065,A01-a0061,Y,Dataや値の取込み時に、意図しない値で認識されること。,1228,False readings,A1107,,取込み異常,読み込み異常,とりこみいじょう,report,L2
layer2,A01-a0066,A01_DeviceProblem,Y,,,,,,,データ誤表示,でーたごひょうじ,not report,L1
layer3,A01-a0067,A01-a0066,Y,誤った患者情報、画像、計算値等が表示されること。,1184,"Display, incorrect",A090201,,,表示データの誤り,ひょうじでーたのあやまり,report,L2
layer3,A01-a0068,A01-a0066,Y,誤った計測結果が表示される。,1183,No Display or Display Failure,A090201,,,計算値（計測結果）の誤表示,けいさんち(けいそくけっか)のごひょうじ,report,L2
layer3,A01-a0069,A01-a0066,Y,計測結果が表示されない。,1183,No Display or Display Failure,A090206,,,計算値（計測結果）が表示されない,けいさんち(けいそくけっか)がひょうじされない,report,L2
layer2,A01-a0070,A01_DeviceProblem,Y,,,,,,,使用エラー,しようえらー,not report,L1
layer3,A01-a0071,A01-a0070,Y,誤った操作を行い、期待した動作が行われないこと。取り扱い不良を含む。,-,-,A23,,,誤操作,ごそうさ,report,L2
layer3,A01-a0072,A01-a0070,Y,設計時に意図しなかった目的に使用すること。,-,-,A2304,,,目的外使用,もくてきがいしよう,report,L2
layer2,A01-a0073,A01_DeviceProblem,Y,,,,,,,不適合,ふてきごう,not report,L1
layer3,A01-a0074,A01-a0073,Y,添付文書、取扱説明書、装置の銘板などの不適切な記載。,-,-,A2101,,,ラべリング不適切,らべりんぐふてきせつ,report,L2
layer3,A01-a0075,A01-a0073,Y,基準、試験、規格、法律等に適合しないこと。,-,-,A020102,,,不適合,ふてきごう,report,L2
layer1,A01_PatientProblem,A01,,,,,,,,,,,
layer2,A01-e0076,A01_PatientProblem,Y,,,,,,,炎症,えんしょう,not report,L1
layer3,A01-e0077,A01-e0076,Y,免疫反応が、特定の抗原に対して過敏反応が起きること 。,-,-,E0402,,,アレルギー反応,あれるぎーはんのう,report,L2
layer3,A01-e0078,A01-e0076,Y,皮膚、粘膜に生じる不快で引っ掻きたくなる感覚のこと。,1943,Itching,E1708,,,痒み,かゆみ,report,L2
layer3,A01-e0079,A01-e0076,Y,組織が損傷した結果から表現される不快な感覚のこと。,1994,Pain,E2330,,,痛み,いたみ,report,L2
layer3,A01-e0080,A01-e0076,Y,皮膚に赤くてかゆみのある発疹等の炎症を引き起こす症例。,2443,Skin inflammation,E172004,,,湿疹,しっしん,report,L2
layer3,A01-e0081,A01-e0076,Y,皮膚に化学物質が触れる等の外的刺激を受け、炎症を起こす症例。,2443,Skin inflammation,E172003,,接触皮膚炎,かぶれ,せっしょくひふえん,report,L2
layer3,A01-e0082,A01-e0076,Y,全身または炎症のある局所に感じられる、熱っぽい感じ。,2146,Burning Sensation,E1705,,,熱感,ねつかん,report,L2
layer2,A01-e0083,A01_PatientProblem,Y,,,,,,,外傷,がいしょう,not report,L1
layer3,A01-e0084,A01-e0083,Y,転倒やものに強くぶつかるなど体外からの力による、傷口を伴わない軟部組織の損傷。,1754,Bruise,E2002,,,打撲,だぼく,report,L2
layer3,A01-e0085,A01-e0083,Y,正常な組織を損ない、傷が付く症例。,2348,Injury,E2014,,,損傷,そんしょう,report,L2
layer3,A01-e0086,A01-e0083,Y,皮膚や肉が裂け、傷を受けた症例。,1946,Laceration(s),E2009,,切創,裂傷,せっそう,report,L2
layer3,A01-e0087,A01-e0083,Y,打撃やねじれ、過伸展（かしんてん）などにより裂けた損傷。,-,-,E2009,,,裂創,れっそう,report,L2
layer3,A01-e0088,A01-e0083,Y,擦り傷,1689,Abrasion,E1701,,,擦過傷,さっかしょう,report,L2
layer2,A01-e0089,A01_PatientProblem,Y,,,,,,,出血,しゅっけつ,not report,L1
layer3,A01-e0090,A01-e0089,Y,組織とともに血管が損傷され、血液が体外に流れ出ること。,1888,Hemorrhage,E0506,,,外出血,がいしゅっけつ,report,L2
layer3,A01-e0091,A01-e0089,Y,体内の血管が破裂する等して皮下で出血する現象。,-,-,E0506,,,内出血,ないしゅっけつ,report,L2
layer3,A01-e0092,A01-e0089,Y,脳内に出血する疾患。,1889,"Hemorrhage, cerebral",E0118,,脳出血,脳内出血,のうしゅっけつ,report,L2
layer3,A01-e0093,A01-e0089,Y,出血によって多量の血液が失われること。,2597,Blood loss,E050602,,,失血,しっけつ,report,L2
layer2,A01-e0094,A01_PatientProblem,Y,,,,,,,穿孔,せんこう,not report,L1
layer3,A01-e0095,A01-e0094,Y,臓器壁に穴が開いてしまう症例。,2001,Perforation,E2114,,,穿孔,せんこう,report,L2
layer2,A01-e0096,A01_PatientProblem,Y,,,,,,,捻挫,ねんざ,not report,L1
layer3,A01-e0097,A01-e0096,Y,手や足などの関節に無理な力がかかり、外れかかって靭帯(じんたい)や腱(けん)が損傷された状態。,2083,Sprain,E1620,,,捻挫,ねんざ,report,L2
layer2,A01-e0098,A01_PatientProblem,Y,,,,,,,骨折,こっせつ,not report,L1
layer3,A01-e0099,A01-e0098,Y,骨が持つ強度以上の外力が加わり、ひびが入る、折れる又は砕ける症例。,1870,Fracture(s),E1603,,,骨折,こっせつ,report,L2
layer2,A01-e0100,A01_PatientProblem,Y,,,,,,,細動,さいどう,not report,L1
layer3,A01-e0101,A01-e0100,Y,心臓の心室が小刻みに震えて全身に血液を送ることができない状態。,2130,Ventricular Fibrillation,E060110,,,心室細動,しんしつさいどう,report,L2
layer3,A01-e0102,A01-e0100,Y,心房が細かく動く事。不整脈の一種。,1729,Atrial Fibrillation,E060102,,,心房細動,しんぼうさいどう,report,L2
layer2,A01-e0103,A01_PatientProblem,Y,,,,,,,ヘルニア,へるにあ,not report,L1
layer3,A01-e0104,A01-e0103,Y,ヘルニアの一種であり、椎間板の一部が正常の椎間腔を超えて突出した状態。,2240,Hernia,E2319,,,椎間板ヘルニア,ついかんばんへるにあ,report,L2
layer2,A01-e0105,A01_PatientProblem,Y,,,,,,,失明,しつめい,not report,L1
layer3,A01-e0106,A01-e0105,Y,病気またはけが等によって視力を失う症例。,-,-,E083902,,,失明,しつめい,report,L2
layer2,A01-e0107,A01_PatientProblem,Y,,,,,,,障害,しょうがい,not report,L1
layer3,A01-e0108,A01-e0107,Y,実際には音がしていないのにも拘らず、何かが聞こえるように感じる現象。,2103,Tinnitus,E0904,,,耳鳴り,みみなり,report,L2
layer3,A01-e0109,A01-e0107,Y,耳（音）が聞こえにくくなる障害。,1881,Hearing Impairment,E0903,,,難聴,なんちょう,report,L2
layer3,A01-e0110,A01-e0107,N,聴覚以外の身体の器官が何らかの原因によって十分な機能を果たさないこと。また、そのような状態。,-,-,E2402,,,その他障害,そのたしょうがい,report,L2
layer2,A01-e0111,A01_PatientProblem,Y,,,,,,,放射線被ばく,ほうしゃせんひばく,not report,L1
layer3,A01-e0112,A01-e0111,Y,人体が放射線にさらされること。,1510,Radiation Overdose,E2119,,,被ばく,ひばく,report,L2
layer3,A01-e0113,A01-e0111,Y,毛細血管拡張などが原因で皮膚表面に発赤を伴った状態をいう。,1840,Erythema,E171601,,,紅斑,こうはん,report,L2
layer3,A01-e0114,A01-e0111,Y,毛が抜け落ちること。,1877,Hair Loss,E2318,,,脱毛,だつもう,report,L2
layer3,A01-e0115,A01-e0111,Y,高線量の放射線により皮膚を構成する細胞や血管が傷害され、熱傷に類似した症状を呈すること。,1755,Radiation burn,E170403,,,放射線火傷,ほうしゃせんやけど,report,L2
layer3,A01-e0116,A01-e0111,Y,生物体が放射線に被ばくすることにより発生する紅斑、脱毛、火傷以外の身体的障害。,-,-,E2119,,,その他の放射線障害,そのたのほうしゃせんしょうがい,report,L2
layer2,A01-e0117,A01_PatientProblem,Y,,,,,,,火傷(熱傷),やけど(ねっしょう),not report,L1
layer3,A01-e0118,A01-e0117,Y,ＭＲＩ検査時に高周波ループが形成された事による火傷（ケーブルなどによるものも含む）。,-,-,E1704,,火傷（金属）,高周波火傷,やけど（きんぞく）,report,L2
layer3,A01-e0119,A01-e0117,Y,熱湯、火焔、蒸気などの熱による損傷。,2530,"Burn, thermal",E1704,,,温熱熱傷,おんねつねっしょう,report,L2
layer3,A01-e0120,A01-e0117,Y,温熱熱傷の1つ。長時間の低温熱源の直接接触により発生する火傷。,-,-,E1704,,低温火傷,低温熱傷,ていおんやけど,report,L2
layer3,A01-e0121,A01-e0117,Y,電流による損傷。電流への抵抗によって生じる熱で組織が破壊されること。,-,-,E1704,,,電撃傷,でんげきしょう,report,L2
layer3,A01-e0122,A01-e0117,Y,冷媒の付着による火傷,-,-,E170402,,,冷媒による火傷,れいばいによるやけど,report,L2
layer2,A01-e0123,A01_PatientProblem,Y,,,,,,,感電,かんでん,not report,L1
layer3,A01-e0124,A01-e0123,Y,不適切な使用、漏電等により人体に電流が流れ、生理学的影響や傷害を受ける症例。,2554,Electric shock,E2104,,,電気ショック,でんきしょっく,report,L2
layer2,A01-e0125,A01_PatientProblem,Y,,,,,,,麻痺,まひ,not report,L1
layer3,A01-e0126,A01-e0125,Y,四肢などが完全に機能を喪失していることや、感覚が鈍って、もしくは完全に失われた状態を指す。,1997,Paralysis,E012202,,,麻痺,まひ,report,L2
layer2,A01-e0127,A01_PatientProblem,Y,,,,,,,感染,かんせん,not report,L1
layer3,A01-e0128,A01-e0127,Y,微生物が人体に侵入、増殖、何らの症状が出現する症例。,1930,Infection,E1906,,,感染,かんせん,report,L2
layer2,A01-e0129,A01_PatientProblem,Y,,,,,,,中毒,ちゅうどく,not report,L1
layer3,A01-e0130,A01-e0129,Y,生体内に入った薬物・毒物や生体内の代謝産物によって病態や機能障害が生じること。,-,-,E2402,,,中毒,ちゅうどく,report,L2
layer2,A01-e0131,A01_PatientProblem,Y,,,,,,,流産,りゅうざん,not report,L1
layer3,A01-e0132,A01-e0131,Y,受胎産物、胚、または生育不能の胎児が子宮から早期に娩出される症例。,1688,Abortion,E1501,,,流産,りゅうざん,report,L2
layer1,A01_Component,A01,,,,,,,,,,,
layer2,A01-g0133,A01_Component,Y,,,,G07001,,,装置本体,そうちほんたい,report,L1
layer2,A01-g0134,A01_Component,Y,,,,G07001,,,部品,ぶひん,report,L1
layer2,A01-g0135,A01_Component,Y,,,,G02008,,,ソフトウェア,そふとうぇあ,report,L1
terminology,B01,,,,,,,,,,,,
layer1,B01_DeviceProblem,B01,,,,,,,,,,,
layer2,B01-a0001,B01_DeviceProblem,Y,,,,,,,故障,こしょう,not report,L1
layer3,B01-a0002,B01-a0001,Y,動作が不安定又は動作しないこと,-,-,A1501,,,動作不良,どうさふりょう,report,L2
layer3,B01-a0003,B01-a0001,Y,期待した動作でないこと,1430,Unintended System Motion,A150101,,誤動作,意図しない動作,ごどうさ,report,L2
layer3,B01-a0004,B01-a0001,Y,物理的、電気的に傷を受けること,1069,Break,A0401,,,損傷,そんしょう,report,L2
layer3,B01-a0005,B01-a0001,Y,一部又は全ての機能が停止すること,1663,"Device, inoperable",A26,,,機能停止,きのうていし,report,L2
layer3,B01-a0006,B01-a0001,Y,環境条件、経時変化により、期待した状態（元の仕様）から性能、性質が劣ること,1153,Degraded,A0405,,性能低下,劣化,せいのうていか,report,L2
layer3,B01-a0007,B01-a0001,Y,誤った操作を行い、期待した動作が行われないこと,3265,Device Handling Issue,A23,,,操作不良,そうさふりょう,report,L2
layer3,B01-a0008,B01-a0001,Y,装置から煙がでること,1585,Smoking,A1009,,,発煙,はつえん,report,L2
layer3,B01-a0009,B01-a0001,Y,他の医療機器との組み合わせる影響で破損すること,2919,Device-Device Incompatibility,A0502,,,組合せ機器による破損,くみあわせききによるはそん,report,L2
layer2,B01-a0010,B01_DeviceProblem,Y,,,,,,,モニタ不良,もにたふりょう,not report,L1
layer3,B01-a0011,B01-a0010,Y,表示しないまたは動作しないこと,1184,Incorrect Display,A0902,,,モニタの不良,もにたのふりょう,report,L2
layer3,B01-a0012,B01-a0010,Y,ディスプレイモニタに表示する位置、形が不良なこと,1408,Poor Quality Image,A090208,,,モニタ表示の不良（ズレ、歪）,もにたひょうじのふりょう（ずれ、ひずみ）,report,L2
layer3,B01-a0013,B01-a0010,Y,ディスプレイモニタに意図しない表示をすること,1304,Image Display Error,A090201,,,モニタの誤表示,もにたのごひょうじ,report,L2
layer2,B01-a0014,B01_DeviceProblem,Y,,,,,,,不適合,ふてきごう,not report,L1
layer3,B01-a0015,B01-a0014,Y,基準、試験、規格、法律等に適合しないこと,1506,Product Quality Issue,A020102,,,不適合,ふてきごう,report,L2
layer2,B01-a0016,B01_DeviceProblem,Y,,,,,,,データの問題,でーたのもんだい,not report,L1
layer3,B01-a0017,B01-a0016,Y,患者情報、計算値等の情報が消えること,2903,Loss of Data,A110701,,,データの喪失,でーたのそうしつ,report,L2
layer3,B01-a0018,B01-a0016,Y,患者情報、計算値等の情報が混じること,3197,Patient Data Issue,A1107,,,データの混入,でーたのこんにゅう,report,L2
layer2,B01-a0019,B01_DeviceProblem,Y,,,,,,,嵌合,かんごう,not report,L1
layer3,B01-a0020,B01-a0019,Y,ネジ、ロック等が緩む,1371,Loose or Intermittent Connection,A05,,,緩む,ゆるむ,report,L2
layer2,B01-a0021,B01_DeviceProblem,Y,,,,,,,アーチファクト,あーちふぁくと,not report,L1
layer3,B01-a0022,B01-a0021,Y,目的としない信号が表示されること,1036,Artifact,A090801,,,アーチファクト,あーちふぁくと,report,L2
layer2,B01-a0023,B01_DeviceProblem,Y,,,,,,,誤使用,ごしよう,not report,L1
layer3,B01-a0024,B01-a0023,Y,設計時に意図しなかった目的に使用すること,2017,Improper or Incorrect Procedure or Method,A2304,,,目的外の使用,もくてきがいのしよう,report,L2
layer2,B01-a0025,B01_DeviceProblem,Y,,,,,,,汚染,おせん,not report,L1
layer3,B01-a0026,B01-a0025,Y,菌、血液、薬剤の影響が残ること,1120,Contamination During Use,A1801,,,汚染,おせん,report,L2
layer2,B01-a0027,B01_DeviceProblem,Y,,,,,,,誤計測,ごけいそく,not report,L1
layer3,B01-a0028,B01-a0027,Y,計算値が表示されないこと,1435,No Device Output,A090206,,,計算値が表示されない,けいさんちがひょうじされない,report,L2
layer3,B01-a0029,B01-a0027,Y,機器から得られた測定値、出力値、またはデータが不正確であり、それが不適切な医療行為または治療の原因になりうる問題,2953,Improper Device Output,A0908,,,計算値（測定値）が不正確,けいさんち（そくていち）がふせいかく,report,L2
layer3,B01-a0030,B01-a0027,Y,計測機能が使用できない,1383,"Measurements, incorrect",A090811,,,計測機能が使用できない,けいそくきのうがしようできない,report,L2
layer2,B01-a0031,B01_DeviceProblem,Y,,,,,,,アラームの不具合,あらーむのふぐあい,not report,L1
layer3,B01-a0032,B01-a0031,Y,アラームが検出できないこと,1012,Device Alarm System Issue,A1601,,,未検出,みけんしゅつ,report,L2
layer3,B01-a0033,B01-a0031,Y,間違ったアラームを発生させること,1013,False Alarm,A160105,,,誤検出,ごけんしゅつ,report,L2
layer3,B01-a0034,B01-a0031,Y,アラーム音が聞こえないこと,1019,Not Audible Alarm,A1601,,,不可聴,ふかちょう,report,L2
layer2,B01-a0035,B01_DeviceProblem,Y,,,,,,,装置アラームの不具合,そうちあらーむのふぐあい,not report,L1
layer3,B01-a0036,B01-a0035,Y,バッテリの状態が表示できないこと,2591,Device displays error message,A0902,,,バッテリ表示エラー,ばってりひょうじえらー,report,L2
layer3,B01-a0037,B01-a0035,Y,電極の状態が表示できないこと,2591,Device displays error message,A0902,,,電極状態表示エラー,でんきょくじょうたいひょうじえらー,report,L2
layer3,B01-a0038,B01-a0035,Y,患者ケーブルの脱落を表示できないこと,2591,Device displays error message,A0902,,,リード状態表示エラー,りーどじょうたいひょうじえらー,report,L2
layer2,B01-a0039,B01_DeviceProblem,Y,,,,,,,送受信機の不具合,そうじゅしんきのふぐあい,not report,L1
layer3,B01-a0040,B01-a0039,Y,電波が届かないこと,1511,Radio Signal Problem,A1305,,,電波切れ,でんぱぎれ,report,L2
layer3,B01-a0041,B01-a0039,Y,他の電波の影響を受けること,1629,Telemetry Discrepancy,A1305,,,混信,こんしん,report,L2
layer3,B01-a0042,B01-a0039,Y,送信機が不良であること,2896,Communication or Transmission Issue,A13,,,送信機の不具合,そうしんきのふぐあい,report,L2
layer2,B01-a0043,B01_DeviceProblem,Y,,,,,,,バッテリ不良,ばってりふりょう,not report,L1
layer3,B01-a0044,B01-a0043,Y,バッテリから所定の電圧、電流が取り出せないこと,2885,Battery Issue,A0705,,,バッテリの不具合,ばってりのふぐあい,report,L2
layer3,B01-a0045,B01-a0043,Y,バッテリを充電できないこと,1085,Failure to Charge,A0706,,,充電できない,じゅうでんできない,report,L2
layer3,B01-a0046,B01-a0043,Y,バッテリが所定の時間動作しないこと,1057,Premature Discharge of Battery,A070504,,,早期放電,そうきほうでん,report,L2
layer2,B01-a0047,B01_DeviceProblem,Y,,,,,,,電極の不具合,でんきょくのふぐあい,not report,L1
layer3,B01-a0048,B01-a0047,Y,電極が不良であること,-,-,A0202,,,電極の不具合,でんきょくのふぐあい,report,L2
layer3,B01-a0049,B01-a0047,Y,電極が身体に貼り付けられないこと,-,-,A0710,,,接触不良,せっしょくふりょう,report,L2
layer3,B01-a0050,B01-a0047,Y,電極のゲルが変性すること,-,-,A0202,,,変性,へんせい,report,L2
layer2,B01-a0051,B01_DeviceProblem,Y,,,,,,,非常用電源不良,ひじょうようでんげんふりょう,not report,L1
layer3,B01-a0052,B01-a0051,Y,非常用電源が動作しないこと,1205,Emergency power failure,A191001,,,非常用電源の不具合,ひじょうようでんげんのふぐあい,report,L2
layer2,B01-a0053,B01_DeviceProblem,Y,,,,,,,リードの不良,りーどのふりょう,not report,L1
layer3,B01-a0054,B01-a0053,Y,リード線が破損すること,1069,Break,A0401,,,破損,はそん,report,L2
layer2,B01-a0055,B01_DeviceProblem,Y,,,,,,,圧力センサの不具合,あつりょくせんさのふぐあい,not report,L1
layer3,B01-a0056,B01-a0055,Y,圧力センサが不良であること,2917,Device Sensing Issue,A0709,,,圧力センサの不具合,あつりょくせんさのふぐあい,report,L2
layer2,B01-a0057,B01_DeviceProblem,Y,,,,,,,プローブの不具合,ぷろーぶのふぐあい,not report,L1
layer3,B01-a0058,B01-a0057,Y,プローブが不良であること,2917,Device Sensing Issue,A0709,,,プローブの不具合,ぷろーぶのふぐあい,report,L2
layer2,B01-a0059,B01_DeviceProblem,Y,,,,,,,ポンプの不具合,ぽんぷのふぐあい,not report,L1
