"薬効分類","新旧","販売名","添付文書番号","更新日","業者１","業者２","業者３","製造販売元"
"全身麻酔剤：24","","ドロレプタン注射液25mg","1119401A1036_3_04","2024年03月04日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"全身麻酔剤：24","","プロポフォール1%静注20mL「日医工...","1119402A1073_1_07","2024年07月16日","製造販売元（／日医工株式会社","","","日医工株式会社"
"全身麻酔剤：24","","プロポフォール1％静注20mL「VTRS」...","1119402A1138_1_04","2024年07月01日","製造販売元／ヴィアトリス・ヘルスケア合同会社","販売元／ヴィアトリス製薬合同会社","","ヴィアトリス・ヘルスケア合同会社"
"全身麻酔剤：24","","プロポフォール静注1%20mL「FK」...","1119402A1103_1_06","2024年04月01日","製造販売元／フレゼニウスカービジャパン株式会社","販売元／株式会社ジェイ・エム・エス","","フレゼニウスカービジャパン株式会社"
"全身麻酔剤：24","","プロポフォール静注1％20mL「マルイ...","1119402A1120_1_02","2024年03月13日","製造販売（輸／丸石製薬株式会社","提携／BBraunMelsungenAG（ドイツ）","","丸石製薬株式会社"
"全身麻酔剤：24","","プロポフォール静注2％50mL「マルイ...","1119402A5036_1_02","2024年03月13日","製造販売（輸／丸石製薬株式会社","提携／BBraunMelsungenAG（ドイツ）","","丸石製薬株式会社"
"全身麻酔剤：24","","マルワ亜酸化窒素","1116700X1045_1_01","2021年04月01日","製造販売元／和歌山酸素株式会社","","","和歌山酸素株式会社"
"全身麻酔剤：24","","ラボナール注射用0.3g／...","1115400X1027_2_03","2023年10月01日","製造販売元／ニプロESファーマ株式会社","","","ニプロESファーマ株式会社"
"全身麻酔剤：24","","小池笑気","1116700X1088_1_06","2021年04月01日","製造販売元／株式会社小池メディカル","","","株式会社小池メディカル"
"全身麻酔剤：24","","液化亜酸化窒素","1116700X1053_1_04","2020年01月01日","製造販売元／日本エア・リキード合同会社","","","日本エア・リキード合同会社"
"全身麻酔剤：24","","液化亜酸化窒素","1116700X1061_1_10","2024年01月20日","製造販売元／日産化学株式会社","","","日産化学株式会社"
"催眠鎮静剤，抗不安剤：183","","2mgセルシン錠／5mgセル...","1124017B1129_2_07","2023年09月20日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","5mgコントール錠／10mg...","1124028F1030_2_06","2023年07月31日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","アモバン錠7.5／アモバ...","1129007F1026_1_27","2023年12月12日","製造販売元／サノフィ株式会社","販売元／日医工株式会社","","サノフィ株式会社"
"催眠鎮静剤，抗不安剤：183","","アルプラゾラム錠0.4mg「アメル」...","1124023F1126_4_05","2024年09月09日","製造販売元／共和薬品工業株式会社","販売元／日本ジェネリック株式会社","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","アルプラゾラム錠0.4mg「アメル」...","1124023F1126_3_05","2024年06月27日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","アルプラゾラム錠0.4mg「サワイ」...","1124023F1118_1_08","2023年12月27日","製造販売元／メディサ新薬株式会社","発売元／沢井製薬株式会社","","メディサ新薬株式会社"
"催眠鎮静剤，抗不安剤：183","","アルプラゾラム錠0.4mg「トーワ」...","1124023F1100_1_14","2024年07月11日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","エスクレ坐剤「250」／...","1123700J1020_2_08","2023年12月22日","製造販売元／久光製薬株式会社","","","久光製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","エスクレ注腸用キット「500」","1123700X1023_1_07","2023年12月22日","製造販売元／久光製薬株式会社","","","久光製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「DSEP」...","1129010F1036_1_04","2024年05月17日","製造販売元／第一三共エスファ株式会社","販売提携／第一三共株式会社","","第一三共エスファ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「KMP」／...","1129010F1044_1_03","2023年10月06日","製造販売元／共創未来ファーマ株式会社","","","共創未来ファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「KMP」／...","1129010F1044_2_03","2023年10月06日","製造販売元／共創未来ファーマ株式会社","販売元／株式会社三和化学研究所","","共創未来ファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「NPI」／...","1129010F1052_1_04","2024年02月01日","製造販売元／日本薬品工業株式会社","販売元／株式会社フェルゼンファーマ","","日本薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「TCK」／...","1129010F1060_1_04","2024年01月31日","製造販売元／辰巳化学株式会社","","","辰巳化学株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「YD」／...","1129010F1079_1_03","2023年10月26日","製造販売元／株式会社陽進堂","","","株式会社陽進堂"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「アメル」...","1129010F1087_1_04","2023年07月24日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「ケミファ」...","1129010F1109_2_04","2024年03月12日","製造販売元／日本ケミファ株式会社","販売元／日本薬品工業株式会社","","日本ケミファ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「ケミファ」...","1129010F1109_1_04","2024年03月12日","製造販売元／日本ケミファ株式会社","","","日本ケミファ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「サワイ」...","1129010F1117_1_03","2023年08月29日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「トーワ」...","1129010F1125_1_03","2023年06月05日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「ニプロ」...","1129010F1141_1_04","2023年10月01日","製造販売元／ニプロ株式会社","","","ニプロ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「日医工」...","1129010F1168_1_05","2024年09月18日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「日新」...","1129010F1133_1_03","2023年12月13日","製造販売元／日新製薬株式会社","","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「明治」...","1129010F1150_1_03","2024年01月10日","製造販売元／MeijiSeikaファルマ株式会社","","","MeijiSeikaファルマ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスゾピクロン錠1mg「杏林」...","1129010F1095_1_06","2024年05月07日","製造販売元／キョーリンリメディオ株式会社","販売元／杏林製薬株式会社","","キョーリンリメディオ株式会社"
"催眠鎮静剤，抗不安剤：183","","エスタゾラム錠1mg「アメル」...","1124001F1030_4_03","2024年02月15日","製造販売元／共和薬品工業株式会社","販売元／日医工株式会社","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","エスタゾラム錠1mg「アメル」...","1124001F1030_3_05","2024年09月11日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","エバミール錠1.0","1124010F1021_2_14","2024年01月22日","製造販売元／バイエル薬品株式会社","","","バイエル薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","エリスパン錠0.25mg","1124019F1030_2_05","2024年04月01日","製造販売元／住友ファーマ株式会社","","","住友ファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「MNP」／...","1124030F1037_1_12","2023年12月21日","製造販売元／日新製薬株式会社","","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「MNP」／...","1124030F1037_2_11","2024年01月10日","製造販売元／日新製薬株式会社","販売元／MeijiSeikaファルマ株式会社","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「YD」／...","1124030F1045_1_10","2024年01月26日","製造販売元／株式会社陽進堂","","","株式会社陽進堂"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「YD」／...","1124030F1045_2_10","2024年09月09日","製造販売元／株式会社陽進堂","販売元／日本ジェネリック株式会社","","株式会社陽進堂"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「アメル」...","1124030F1053_2_03","2024年01月29日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「サワイ」...","1124030F1088_1_10","2024年02月29日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「トーワ」...","1124030F1061_1_11","2023年12月09日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","クアゼパム錠15mg「日医工」...","1124030F1070_1_10","2024年02月29日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","クロルジアゼポキシド錠5mg「ツル...","1124028B1062_1_08","2023年09月12日","製造販売元／鶴原製薬株式会社","","","鶴原製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","グランダキシン錠50","1124026F1022_1_01","2023年04月17日","製造販売元／持田製薬株式会社","","","持田製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","コレミナール錠4mg／コ...","1124024C1035_1_10","2023年05月30日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","コレミナール錠4mg／コ...","1124024C1035_2_09","2023年05月30日","製造販売元／沢井製薬株式会社","販売／田辺三菱製薬株式会社","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","コンスタン0.4mg錠／コ...","1124023F1029_2_07","2023年10月12日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","コントール散1%／コン...","1124028B1046_2_05","2023年07月31日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","サイレース錠1mg／サイ...","1124008F1024_1_21","2023年04月20日","製造販売元／エーザイ株式会社","","","エーザイ株式会社"
"催眠鎮静剤，抗不安剤：183","","サイレース静注2mg","1124400A1058_1_09","2023年04月20日","製造販売元（／エーザイ株式会社","","","エーザイ株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム注射液10mg「NIG」","1124402A2070_1_03","2024年02月02日","製造販売元／日医工岐阜工場株式会社","発売元／日医工株式会社","販売／武田薬品工業株式会社","日医工岐阜工場株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム注射液5mg「NIG」","1124402A1057_1_03","2024年02月02日","製造販売元／日医工岐阜工場株式会社","発売元／日医工株式会社","販売／武田薬品工業株式会社","日医工岐阜工場株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2mg「アメル」／...","1124017F2194_3_04","2024年09月09日","製造販売元／共和薬品工業株式会社","販売元／日本ジェネリック株式会社","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2mg「アメル」／...","1124017B1137_2_03","2024年01月29日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2mg「タイホウ」...","1124017F2224_1_03","2024年02月06日","製造販売元／大鵬薬品工業株式会社","","","大鵬薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2mg「ツルハラ」...","1124017F2216_1_14","2024年02月29日","製造販売元／鶴原製薬株式会社","","","鶴原製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2「サワイ」","1124017F2046_1_16","2024年03月15日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ジアゼパム錠2「トーワ」／...","1124017F2054_1_24","2023年11月27日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","セディール錠5mg／セデ...","1129008F1039_2_11","2022年12月01日","製造販売元／住友ファーマ株式会社","","","住友ファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","セパゾン錠1／セパゾ...","1124014B1036_3_03","2023年07月31日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","セルシンシロップ0.1％","1124017Q1032_2_08","2023年09月20日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","セルシン注射液5mg／セ...","1124402A1030_2_06","2023年09月20日","製造販売元／武田テバ薬品株式会社","販売／武田薬品工業株式会社","","武田テバ薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","セレナール錠5／セレ...","1124013B1031_3_04","2023年12月15日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ソメリン細粒1%／ソメ...","1124005C1032_2_05","2023年07月31日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ソラナックス0.4mg錠／...","1124023F1037_5_04","2024年07月01日","製造販売元／ヴィアトリス製薬合同会社","","","ヴィアトリス製薬合同会社"
"催眠鎮静剤，抗不安剤：183","","ゾピクロン錠7.5mg「サワイ」...","1129007F1123_1_09","2024年03月25日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾピクロン錠7.5mg「トーワ」...","1129007F1107_1_19","2024年01月12日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾピクロン錠7.5mg「杏林」／...","1129007F1140_1_07","2024年05月13日","製造販売元／キョーリンリメディオ株式会社","販売元／杏林製薬株式会社","","キョーリンリメディオ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩ODフィルム5mg「...","1129009F3052_1_10","2023年12月25日","製造販売元／救急薬品工業株式会社","販売／持田製薬株式会社","","救急薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩OD錠5mg「日医工...","1129009F3079_1_11","2023年12月19日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩内用液5mg「タ...","1129009S1023_1_11","2023年12月22日","製造販売元／高田製薬株式会社","","","高田製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「AFP」...","1129009F1041_1_13","2023年11月30日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「DSEP」...","1129009F1068_1_10","2024年05月17日","製造販売元／第一三共エスファ株式会社","販売提携／第一三共株式会社","","第一三共エスファ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「JG」...","1129009F1114_1_16","2024年09月09日","製造販売元／日本ジェネリック株式会社","","","日本ジェネリック株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「KMP」...","1129009F1351_1_06","2024年07月25日","製造販売元／共創未来ファーマ株式会社","","","共創未来ファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「NIG」...","1129009F1378_1_03","2024年04月26日","製造販売元／日医工岐阜工場株式会社","発売元／日医工株式会社","販売／武田薬品工業株式会社","日医工岐阜工場株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「NPI」...","1129009F1360_1_04","2024年02月20日","製造販売元／東洋カプセル株式会社","販売元／日本薬品工業株式会社","","東洋カプセル株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「NP」...","1129009F1149_3_10","2023年12月20日","製造販売元／ニプロ株式会社","","","ニプロ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「TCK」...","1129009F1165_1_10","2024年04月24日","製造販売元／辰巳化学株式会社","","","辰巳化学株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「YD」...","1129009F1173_1_10","2023年12月25日","製造販売元／株式会社陽進堂","","","株式会社陽進堂"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「ZE」...","1129009F1181_1_13","2024年01月30日","製造販売元／全星薬品工業株式会社","発売元／全星薬品株式会社","","全星薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「アメル...","1129009F1203_2_05","2024年10月25日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「オーハ...","1129009F1211_2_14","2024年07月01日","製造販売元／大原薬品工業株式会社","販売／株式会社エッセンシャルファーマ","","大原薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「オーハ...","1129009F1211_1_10","2023年10月31日","製造販売元／大原薬品工業株式会社","","","大原薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「クニヒ...","1129009F1343_1_08","2024年03月15日","製造販売元／皇漢堂製薬株式会社","","","皇漢堂製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「ケミフ...","1129009F1238_2_11","2024年03月01日","製造販売元／日本ケミファ株式会社","販売元／日本薬品工業株式会社","","日本ケミファ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「ケミフ...","1129009F1238_1_09","2024年03月01日","製造販売元／日本ケミファ株式会社","","","日本ケミファ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「サワイ...","1129009F1246_1_10","2023年10月31日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「サンド...","1129009F1254_1_12","2024年12月02日","製造販売／サンド株式会社","","","サンド株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「タカタ...","1129009F1262_1_11","2023年12月28日","製造販売元／高田製薬株式会社","","","高田製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「トーワ...","1129009F1289_1_09","2023年11月30日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「日医工...","1129009F1297_1_11","2023年12月08日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「日新」...","1129009F1300_2_11","2024年01月23日","製造販売元／日新製薬株式会社","発売元／科研製薬株式会社","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「日新」...","1129009F1300_1_10","2023年12月01日","製造販売元／日新製薬株式会社","","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「明治」...","1129009F1335_1_09","2024年01月10日","製造販売元／MeijiSeikaファルマ株式会社","","","MeijiSeikaファルマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ゾルピデム酒石酸塩錠5mg「杏林」...","1129009F1220_1_13","2024年05月13日","製造販売元／キョーリンリメディオ株式会社","販売元／杏林製薬株式会社","","キョーリンリメディオ株式会社"
"催眠鎮静剤，抗不安剤：183","","タンドスピロンクエン酸塩錠5mg「...","1129008F1055_1_04","2024年03月15日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","タンドスピロンクエン酸塩錠5mg「...","1129008F1071_1_05","2023年11月17日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","タンドスピロンクエン酸塩錠5mg「...","1129008F1047_2_02","2023年12月25日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","タンドスピロンクエン酸塩錠5mg「...","1129008F1063_1_08","2024年03月14日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","ダイアップ坐剤4／ダ...","1124701J1022_2_06","2023年02月21日","製造販売元／高田製薬株式会社","","","高田製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ダルメートカプセル15","1124002M2022_2_02","2023年07月10日","製造販売元／共和薬品工業株式会社","","","共和薬品工業株式会社"
"催眠鎮静剤，抗不安剤：183","","デクスメデトミジン静注液200μg50mL...","1129400G1049_1_05","2023年10月01日","製造販売元／ニプロ株式会社","","","ニプロ株式会社"
"催眠鎮静剤，抗不安剤：183","","デクスメデトミジン静注液200μg「...","1129400A1062_1_05","2024年01月09日","製造販売／サンド株式会社","","","サンド株式会社"
"催眠鎮静剤，抗不安剤：183","","デクスメデトミジン静注液200μg「...","1129400A1070_1_05","2023年10月01日","製造販売元／ニプロ株式会社","","","ニプロ株式会社"
"催眠鎮静剤，抗不安剤：183","","トフィソパム細粒10%「ツルハラ」...","1124026C1115_1_07","2024年03月08日","製造販売元／鶴原製薬株式会社","","","鶴原製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","トフィソパム錠50mg「サワイ」","1124026F1332_1_05","2024年03月15日","製造販売元／沢井製薬株式会社","","","沢井製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","トフィソパム錠50mg「トーワ」","1124026F1340_1_03","2024年01月23日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","トリアゾラム錠0.125mg「CH」／...","1124007F1143_1_13","2024年09月09日","製造販売元／長生堂製薬株式会社","販売元／日本ジェネリック株式会社","","長生堂製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","トリアゾラム錠0.125mg「FY」／...","1124007F1178_1_06","2024年03月21日","製造販売元／株式会社富士薬品","発売元／共和薬品工業株式会社","","株式会社富士薬品"
"催眠鎮静剤，抗不安剤：183","","トリアゾラム錠0.125mg「TCK」...","1124007F1097_1_12","2023年10月27日","製造販売元／辰巳化学株式会社","","","辰巳化学株式会社"
"催眠鎮静剤，抗不安剤：183","","トリアゾラム錠0.125mg「日医工」...","1124007F1135_1_10","2024年02月20日","製造販売元／日医工株式会社","","","日医工株式会社"
"催眠鎮静剤，抗不安剤：183","","トリアゾラム錠0.125mg「日新」...","1124007F1160_1_09","2023年10月31日","製造販売元／日新製薬株式会社","","","日新製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","トリクロリールシロップ10%","1129004Q1031_1_10","2023年06月15日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ドラール錠15／ドラー...","1124030F1029_2_16","2023年08月29日","製造販売元／久光製薬株式会社","","","久光製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ドルミカム注射液10mg","1124401A1052_2_04","2023年02月21日","製造販売元／丸石製薬株式会社","","","丸石製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ニトラゼパム錠5mg「JG」／...","1124003F2265_1_09","2024年09月09日","製造販売元／日本ジェネリック株式会社","","","日本ジェネリック株式会社"
"催眠鎮静剤，抗不安剤：183","","ニトラゼパム錠5mg「NIG」","1124003F2311_1_05","2024年10月29日","製造販売元／日医工岐阜工場株式会社","発売元／日医工株式会社","販売／武田薬品工業株式会社","日医工岐阜工場株式会社"
"催眠鎮静剤，抗不安剤：183","","ニトラゼパム錠5mg「TCK」／...","1124003C1114_1_06","2023年10月24日","製造販売元／辰巳化学株式会社","","","辰巳化学株式会社"
"催眠鎮静剤，抗不安剤：183","","ニトラゼパム錠5mg「ツルハラ」...","1124003F2273_1_09","2024年02月07日","製造販売元／鶴原製薬株式会社","","","鶴原製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","ニトラゼパム錠5mg「トーワ」","1124003F2249_1_14","2023年07月20日","製造販売元／東和薬品株式会社","","","東和薬品株式会社"
"催眠鎮静剤，抗不安剤：183","","ネルボン錠5mg／ネルボ...","1124003B1070_3_05","2023年07月20日","製造販売元／アルフレッサファーマ株式会社","","","アルフレッサファーマ株式会社"
"催眠鎮静剤，抗不安剤：183","","ハルシオン0.125mg錠／...","1124007F1020_4_09","2024年05月08日","製造販売元／ファイザー株式会社","","","ファイザー株式会社"
"催眠鎮静剤，抗不安剤：183","","バランス散10%","1124028B2050_2_06","2023年07月31日","製造販売元／丸石製薬株式会社","","","丸石製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","バランス錠5mg／バラン...","1124028F1048_2_07","2023年07月31日","製造販売元／丸石製薬株式会社","","","丸石製薬株式会社"
"催眠鎮静剤，抗不安剤：183","","フェノバルビタール「ホエイ」原...","1125003B2120_4_04","2024年07月01日","製造販売元／ヴィアトリス・ヘルスケア合同会社","販売元／ヴィアトリス製薬合同会社","","ヴィアトリス・ヘルスケア合同会社"
